"file_name","Gemini_CER","GPT_CER","Winner"
"img12.jpg","0.0809","0.0173","GPT"
"img13.jpg","0.0257","0.0171","GPT"
"img14.jpg","0.0341","0.0114","GPT"
"img15.jpg","0.0829","0.0959","Gemini"
"img16.jpg","0.1072","0.1494","Gemini"
"img18.jpg","0.0204","0.0612","Gemini"
"img23.jpg","0.1365","0.1135","GPT"
"img27.jpg","0.3710","0.0806","GPT"
"img28.jpg","0.2410","0.0663","GPT"
"img31.jpg","0.2219","0.1190","GPT"
"img36.jpg","0.2000","0.1258","GPT"
"img37.jpg","0.1812","0.0464","GPT"
"img39.jpg","0.1192","0.1260","Gemini"
"img43.jpg","0.0680","0.0840","Gemini"
"img44.jpg","0.0929","0.1431","Gemini"
"img45.jpg","0.5419","0.0323","GPT"
"img46.jpg","0.4545","0.1010","GPT"
"img47.jpg","0.9717","0.0769","GPT"
"img49.jpg","0.0702","0.2678","Gemini"
"img50.jpg","0.1801","0.4132","Gemini"
